Artist,Followers,Streams,Playlists,Playlist Reach,Charts,Shazams,Videos,Views,DJ Supports,Error
DJ 30Rack,,,,,,,,,,"Locator.click: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""a[href*=\""/artist/\""]"").first
"
DJ Hazel,4161,1.47M,5,4107,3.0,6031,143,714K,,
DJ Heartstring,384K,170M,3112,57.4M,594.0,409K,13.5K,116M,629,
DJ Minx,78.2K,6.81M,1328,26.5M,333.0,70.1K,539,1.62M,1284,
DJ Snake,75.7M,35.1B,106K,1.37B,4715.0,206M,57.5M,29.5B,29.6K,
Dom Dolla,4.21M,2.03B,24.1K,375M,1715.0,11M,290K,1.6B,13.8K,
Doses,3343,34.1K,4,67.4K,,22,7,3547,,
DREYA V,40.7K,7.55M,1260,41.5M,190.0,59K,526,1.65M,1030,
East End Dubs,501K,35.9M,1547,15.2M,241.0,203K,1264,5.1M,1674,
Egzod,677K,1.74B,7181,84.4M,1299.0,8.48M,2.29M,14.5B,285,
Eli Brown,750K,581M,14K,231M,1277.0,3.64M,35.1K,212M,14.6K,
HI-LO,731K,394M,8828,134M,740.0,2.35M,43.1K,204M,11.9K,
Emorfik,262K,12.7M,483,5.86M,59.0,11.4K,1688,5.06M,193,
Eric Prydz,3.14M,3.01B,26.4K,246M,1870.0,27.7M,163K,938M,17.5K,
Everen Maxwell,24.4K,48.2M,578,10.1M,240.0,72.9K,4431,24.9M,189,
Excision,6.3M,1.45B,8727,89.9M,1170.0,3.37M,106K,495M,14.5K,
Fallen,2303,21.7M,599,18.8M,42.0,26.4K,1240,8.03M,23,
Fury,62.9K,3.92M,89,251K,14.0,17K,458,543K,1,
Nightstalker,163K,8.59M,136,742K,28.0,53.6K,215,253K,,
Dknow (MC Dino),,,,,,,,,,"Locator.click: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""a[href*=\""/artist/\""]"").first
"
Fallen&Dknow (MC Dino),,,,,,,,,,"Locator.click: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""a[href*=\""/artist/\""]"").first
"
Fallon,46K,57.2M,2824,69M,414.0,493K,10.6K,199M,1272,
Ferry Corsten,2.57M,729M,10.3K,104M,1310.0,6.11M,52.3K,145M,28.7K,
Fester,2600,18.3K,26,375K,3.0,124,19,5177,7,
Fireworks,160K,11.2M,180,1.07M,12.0,8563,106,40.6K,,
Fisher,20.1K,693M,11.7K,230M,1120.0,3.97M,108K,312M,6037,
Fleur Shore,405K,3.93M,796,19.8M,111.0,38.2K,868,12.5M,957,
Four Tet,4.23M,2.85B,35.3K,424M,2033.0,22.4M,143K,829M,6577,
Fredy Lane,14.3K,1.22M,314,11.1M,15.0,1895,610,7.94M,80,
Friendly Fire,2611,1.93M,218,2.85M,16.0,3755,74,117K,193,
FrostTop,45.5K,17.9M,955,16.8M,169.0,27.4K,781,4.63M,951,
RemK,62.7K,13.1M,696,19.8M,135.0,24K,878,7.69M,817,
fun2bjane,,,,,,,,,,"Locator.click: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""a[href*=\""/artist/\""]"").first
"
mad gavs,,,,,,,,,,Navigation Failed
GEO,12.7K,5.16M,180,1.03M,36.0,19.4K,2932,2.92M,45,
Ghastly,1.13M,264M,4365,85.4M,386.0,399K,8011,22.8M,2660,
Ghost in Real Life,32.4K,3.9M,419,8.48M,14.0,6428,223,506K,140,
Giuseppe Ottaviani,,,,,,,,,,
GRAVEDGR,289K,158M,3816,58.1M,433.0,402K,1.86M,2.02B,1400,
Gryffin,3.05M,5.2B,32.8K,623M,1861.0,13.2M,1.11M,2.25B,4593,
HAAi,324K,83.4M,3956,78.8M,475.0,355K,167K,112M,601,
HALIENE,715K,483M,8726,114M,1008.0,1.48M,23.3K,51.6M,7505,
Hamdi,482K,117M,3664,74.9M,762.0,702K,28.5K,175M,3383,
Hannah Laing,1.02M,429M,6121,194M,677.0,1.32M,66K,318M,2913,
Harmson,,,,,,,,,,"Locator.click: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""a[href*=\""/artist/\""]"").first
"
Harristone,,,,,,,,,,"Locator.click: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""a[href*=\""/artist/\""]"").first
"
Hedex,1.02M,330M,4173,73.3M,580.0,995K,53.7K,291M,1999,
Heidi Lawden,,,,,,,,,,"Locator.click: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""a[href*=\""/artist/\""]"").first
"
Highlnd,15K,33.3M,1070,26.4M,98.0,45.9K,2298,7.07M,88,
Hint of Lavender,,,,,,,,,,"Locator.click: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""a[href*=\""/artist/\""]"").first
"
Kayzo&Space Laces&Must Die!,,,,,,,,,,"Locator.click: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""a[href*=\""/artist/\""]"").first
"
Hixxy,197K,67.5M,1443,9.22M,196.0,112K,19.5K,78.3M,774,
HOL!,344K,81.7M,1182,19.3M,209.0,213K,13.1K,62.1M,2613,
HoneyLuv,167K,72.3M,3498,77.7M,478.0,1M,269K,61.4M,2666,
HUGEL,8.2M,4.34B,41.6K,654M,2832.0,44.8M,4.36M,23B,18.4K,
Illenium,7.29M,8.9B,36.7K,652M,2531.0,16.3M,889K,2.01B,11.7K,
Indira Paganotto,2.27M,66.6M,1823,43.6M,503.0,262K,9393,56.4M,903,
Infected Mushroom,3.97M,1.09B,5621,34.9M,694.0,2.58M,51.1K,148M,1901,
Interplanetary Criminal,497K,644M,12.8K,386M,2318.0,4.74M,1.16M,7.87B,3374,
[IVY],,,,,,,,,,
J. Worra,268K,242M,6568,137M,521.0,519K,6679,38.8M,2868,
Jackie Hollander,70.5K,12.8M,1497,56M,96.0,44.6K,973,5.54M,520,
James Kennedy,1.58M,9.91M,461,10.8M,44.0,19.5K,939,15.3M,57,
Jamie Jones,3.43M,475M,14.1K,169M,1044.0,4.17M,89K,319M,14.7K,
JEANIE,109K,11.1M,856,12.1M,77.0,24.2K,698,15M,278,
Jerome Isma-Ae,296K,675M,4874,41.7M,831.0,2.28M,21.4K,66.8M,12.8K,
Jessica Audiffred,734K,58.7M,1611,24.7M,203.0,90.2K,19.7K,59.6M,1000,
John 00 Fleming,946K,9.97M,558,3.54M,301.0,191K,1027,7.91M,1710,
John Summit,4.81M,2.25B,27.8K,415M,1515.0,11.5M,407K,1.81B,24.9K,
Green Velvet,1.9M,518M,15K,160M,1062.0,5.82M,42.2K,329M,27K,
Joluca,9980,2.68M,671,13.3M,69.0,15.4K,373,2.61M,307,
Jon Casey,113K,29.7M,1434,35.2M,276.0,60.7K,1451,9.6M,1101,
Joseph Capriati,2.47M,57M,2304,22.7M,558.0,344K,5737,21.2M,3322,
JOYRYDE,1.06M,377M,5355,92.8M,491.0,1.22M,10.6K,59.7M,6503,
Habstrakt,883K,366M,8190,125M,720.0,1.31M,20.5K,134M,10.6K,
Justin Jay,419K,123M,4598,65.1M,734.0,1.05M,99.8K,129M,2631,
Jyoty,872,481K,31,25.9K,,2,54.5K,1.82M,,
K.Gianni,319K,24.4K,7,53K,2.0,528,4,,11,
