,Hostname,Stage Name,Artist,Timeslot,Date,Year,Day,Weekend,Genre
2368,Sirkus,Casa Corona,Crazy Sirkus b2b2b2b2b,21:00 - 22:00,26 July,2019,Friday,Weekend 2,Unknown
2369,Nico Morano & Friends,Core,Tom Zeta,12:30 - 14:00,26 July,2019,Friday,Weekend 2,Unknown
2370,Nico Morano & Friends,Core,Timmerman,14:00 - 15:30,26 July,2019,Friday,Weekend 2,Unknown
2371,Nico Morano & Friends,Core,Animal Trainer,15:30 - 17:00,26 July,2019,Friday,Weekend 2,Commercial Dance
2372,Nico Morano & Friends,Core,Jan Blomqvist,17:00 - 18:30,26 July,2019,Friday,Weekend 2,"Techno, Progressive House, Deep House"
2373,Nico Morano & Friends,Core,Nico Morano,18:30 - 20:30,26 July,2019,Friday,Weekend 2,"House, Techno"
2374,Nico Morano & Friends,Core,Eelke Kleijn,20:30 - 22:00,26 July,2019,Friday,Weekend 2,Progressive House
2375,Carl Cox invites Space Ibiza,Atmosphere,ANNA,15:30 - 17:00,26 July,2019,Friday,Weekend 2,Techno
2376,Nico Morano & Friends,Core,Edu Imbernon b2b Nico Morano,23:30 - 01:00,26 July,2019,Friday,Weekend 2,Unknown
2377,Eric Prydz presents Holosphere,Freedom,Goldfox,12:00 - 13:30,26 July,2019,Friday,Weekend 2,"Electronic, Dance"
2378,Eric Prydz presents Holosphere,Freedom,Neon,13:30 - 15:00,26 July,2019,Friday,Weekend 2,Electronic
2379,Eric Prydz presents Holosphere,Freedom,Rebuke,15:00 - 16:30,26 July,2019,Friday,Weekend 2,Unknown
2380,Eric Prydz presents Holosphere,Freedom,Maya Jane Coles,16:30 - 18:00,26 July,2019,Friday,Weekend 2,Tech House
2381,Eric Prydz presents Holosphere,Freedom,2manyDJ's,18:00 - 19:30,26 July,2019,Friday,Weekend 2,Unknown
2382,Eric Prydz presents Holosphere,Freedom,Peggy Gou,19:30 - 21:00,26 July,2019,Friday,Weekend 2,"Commercial Dance, Electro House, Electronica, Techno, Traditional House"
2383,Eric Prydz presents Holosphere,Freedom,Adam Beyer b2b Ida Engberg,21:00 - 23:00,26 July,2019,Friday,Weekend 2,Unknown
2384,Eric Prydz presents Holosphere,Freedom,Eric Prydz,23:00 - 01:00,26 July,2019,Friday,Weekend 2,Progressive House
2385,V Sessions vs. Freak Show,Garden of Madness,Danko,12:30 - 13:30,26 July,2019,Friday,Weekend 2,Unknown
2386,V Sessions vs. Freak Show,Garden of Madness,Brian Cross vs Jerry Davila & DJ Pelos,13:30 - 14:30,26 July,2019,Friday,Weekend 2,Unknown
2387,V Sessions vs. Freak Show,Garden of Madness,Robert Falcon,14:30 - 15:30,26 July,2019,Friday,Weekend 2,Unknown
2388,V Sessions vs. Freak Show,Garden of Madness,Mariana Bo,15:30 - 16:30,26 July,2019,Friday,Weekend 2,"Dubstep, Hard Dance, Hardcore Techno, Psychedelic Trance, Traditional House"
2389,V Sessions vs. Freak Show,Garden of Madness,Sevenn,16:30 - 17:30,26 July,2019,Friday,Weekend 2,Bass Music
2390,V Sessions vs. Freak Show,Garden of Madness,Carta,17:30 - 18:30,26 July,2019,Friday,Weekend 2,"Electronica, Hard Dance, Tech House, Techno"
2391,V Sessions vs. Freak Show,Garden of Madness,Blasterjaxx,18:30 - 19:30,26 July,2019,Friday,Weekend 2,Commercial Dance
2392,V Sessions vs. Freak Show,Garden of Madness,Regi,19:30 - 20:30,26 July,2019,Friday,Weekend 2,"Trance, Big Room House"
2393,V Sessions vs. Freak Show,Garden of Madness,Laidback Luke,20:30 - 21:30,26 July,2019,Friday,Weekend 2,Electro House
2394,V Sessions vs. Freak Show,Garden of Madness,Yves V,21:30 - 22:30,26 July,2019,Friday,Weekend 2,Progressive House
2395,V Sessions vs. Freak Show,Garden of Madness,Timmy Trumpet,22:30 - 23:30,26 July,2019,Friday,Weekend 2,Progressive House
2396,V Sessions vs. Freak Show,Garden of Madness,Brennan Heart,23:30 - 00:30,26 July,2019,Friday,Weekend 2,Hard Dance
2397,Radio Ultra Modern,Harbour House,NESSA SOW,13:00 - 15:00,26 July,2019,Friday,Weekend 2,Unknown
2398,Radio Ultra Modern,Harbour House,B-KAY,15:00 - 17:00,26 July,2019,Friday,Weekend 2,"Electronic, Dance, House"
2399,Radio Ultra Modern,Harbour House,Bart & Baker,17:00 - 19:00,26 July,2019,Friday,Weekend 2,"Electronic, Dance, House, Swing"
2400,Nico Morano & Friends,Core,Denis Horvat,22:00 - 23:30,26 July,2019,Friday,Weekend 2,"Techno, Techno"
2401,Radio Ultra Modern,Harbour House,Rakesh aka Blackjack9000,21:00 - 23:00,26 July,2019,Friday,Weekend 2,House
2402,Radio Ultra Modern,Harbour House,MegaMen vs. Antoine Simar,23:00 - 01:00,26 July,2019,Friday,Weekend 2,Unknown
2403,Shaqs Fun House,Kara Savi,DJ Q-La Lane,13:00 - 14:30,26 July,2019,Friday,Weekend 2,Unknown
2404,Shaqs Fun House,Kara Savi,Kid Noize,14:30 - 16:00,26 July,2019,Friday,Weekend 2,Unknown
2405,Shaqs Fun House,Kara Savi,Codeko,16:00 - 17:00,26 July,2019,Friday,Weekend 2,"Future Bass, Trap, Midtempo Bass, Dubstep"
2406,Shaqs Fun House,Kara Savi,Nitti Gritti,17:00 - 18:00,26 July,2019,Friday,Weekend 2,"Commercial Dance, Electronica"
2407,Shaqs Fun House,Kara Savi,Spag Heddy,18:00 - 19:00,26 July,2019,Friday,Weekend 2,"Drum & Bass, Dubstep, Electronica, Hip-Hop"
2408,Shaqs Fun House,Kara Savi,The Jillionaire,19:00 - 20:00,26 July,2019,Friday,Weekend 2,Unknown
2409,Shaqs Fun House,Kara Savi,Whipped Cream,20:00 - 21:00,26 July,2019,Friday,Weekend 2,"Bass Music, Trap, Club Music"
2410,Shaqs Fun House,Kara Savi,Kayzo,21:00 - 22:00,26 July,2019,Friday,Weekend 2,Commercial Dance
2411,Shaqs Fun House,Kara Savi,DJ Diesel,22:00 - 23:00,26 July,2019,Friday,Weekend 2,"Electronic, Dance"
2412,Shaqs Fun House,Kara Savi,Carnage,23:00 - 00:00,26 July,2019,Friday,Weekend 2,"Dubstep, Hip-Hop, Trap"
2413,Heldeep,L'Orangerie,Mad Teeth,12:30 - 14:00,26 July,2019,Friday,Weekend 2,Unknown
2414,Heldeep,L'Orangerie,CID,14:00 - 15:30,26 July,2019,Friday,Weekend 2,Rap
2415,Heldeep,L'Orangerie,Toby Green,15:30 - 17:00,26 July,2019,Friday,Weekend 2,Commercial Dance
2416,Heldeep,L'Orangerie,Ofenbach,17:00 - 18:00,26 July,2019,Friday,Weekend 2,"Deep House, Electro House"
2417,Heldeep,L'Orangerie,Fedde Le Grand,18:00 - 19:00,26 July,2019,Friday,Weekend 2,Progressive House
2418,Heldeep,L'Orangerie,Disciples,19:00 - 20:30,26 July,2019,Friday,Weekend 2,"Electronica, Traditional House"
2419,Heldeep,L'Orangerie,Felix Jaehn,20:30 - 22:00,26 July,2019,Friday,Weekend 2,"Deep House, Tech House"
2420,Heldeep,L'Orangerie,Oliver Heldens,22:00 - 23:30,26 July,2019,Friday,Weekend 2,"Electro House, Electronica, Techno"
2421,Heldeep,L'Orangerie,ALOK,23:30 - 00:50,26 July,2019,Friday,Weekend 2,Commercial Dance
2422,Do Not Sit On The Furniture,Leaf,Akira,12:30 - 14:00,26 July,2019,Friday,Weekend 2,Trance
2423,Do Not Sit On The Furniture,Leaf,Modd,14:00 - 15:30,26 July,2019,Friday,Weekend 2,Unknown
2424,Do Not Sit On The Furniture,Leaf,Kora,15:30 - 17:30,26 July,2019,Friday,Weekend 2,"Deep House, Tech House"
2425,Radio Ultra Modern,Harbour House,Crazy Sir-G,19:00 - 21:00,26 July,2019,Friday,Weekend 2,Unknown
2426,Do Not Sit On The Furniture,Leaf,Behrouz,19:30 - 21:30,26 July,2019,Friday,Weekend 2,Traditional House
2427,Do Not Sit On The Furniture,Leaf,WhoMadeWho,21:30 - 23:30,26 July,2019,Friday,Weekend 2,Commercial Dance
2428,Hexagon,Lotus,Russian Roulette,00:15 - 01:00,26 July,2019,Friday,Weekend 2,Unknown
2429,Hexagon,Lotus,Jennifer Cooke,12:30 - 14:00,26 July,2019,Friday,Weekend 2,Unknown
2430,Hexagon,Lotus,JLV,14:00 - 15:00,26 July,2019,Friday,Weekend 2,Unknown
2431,Hexagon,Lotus,RetroVision,15:00 - 16:00,26 July,2019,Friday,Weekend 2,Unknown
2432,Hexagon,Lotus,DJ Licious,16:00 - 17:00,26 July,2019,Friday,Weekend 2,House
2433,Hexagon,Lotus,Henri PFR,17:00 - 18:00,26 July,2019,Friday,Weekend 2,"Commercial Dance, Electronica, Traditional House"
2434,Hexagon,Lotus,Zonderling,18:00 - 19:00,26 July,2019,Friday,Weekend 2,Commercial Dance
