Artist,Year,Genre
Cassie,2022,"Techno, Acid Techno, Electronic"
Chiq,2022,Unknown
Soulcity,2022,Electronic
White Noise,2022,Unknown
Mystique,2022,Hardstyle
DiMaro,2022,House
Romeo Blanco,2022,Commercial Dance
Regi,2022,"Trance, Big Room House"
Bingo Players,2022,Progressive House
Yves V,2022,Progressive House
Dada Life,2022,"Electro House, Progressive House"
Sandro Silva,2022,"Electro House, Progressive House"
Thomas Gold,2022,Progressive House
Sidney Samson,2022,Traditional House
Angemi,2022,"Electronic, Dance"
Kompany,2022,Riddim Dubstep
Gammer,2022,Hardcore Techno
Wooli,2022,"Future Bass, Dubstep, Trap, Commercial Dance"
Sullivan King,2022,Dubstep
DJ Diesel,2022,"Electronic, Dance"
NGHTMRE,2022,"Drum & Bass, Dubstep, Electro House, Traditional House, Trap"
Jauz,2022,"Drum & Bass, Dubstep, Electronica, Traditional House, Trap"
DIVS,2022,Unknown
Dave Lambert & Tach Cremer,2022,Unknown
Prinz,2022,Techno
Capoon,2022,Techno
Neon,2022,Electronic
Odyssey,2022,Pop
Sem Thomasson,2022,Progressive House
Robert Falcon,2022,Unknown
Mandy,2022,Hard Dance
Makasi,2022,House
Amber Broos,2022,Techno
Wolfpack,2022,"Commercial Dance, Electro House, Progressive House"
Sunnery James & Ryan Marciano,2022,Electro House
Da Tweekaz,2022,Hardcore Techno
Ahl Iver,2022,Techno
Milo Spykers,2022,Unknown
Klangkuenstler,2022,"Techno, Techno"
MUZZ,2022,Traditional House
Kobosil,2022,Techno
Ben Klock,2022,Techno
Pan-Pot,2022,"Minimal, Techno"
Amelie Lens,2022,"Electronica, Techno, Trance"
Ampe,2022,Electronic
Naty Seres,2022,Unknown
Salome,2022,Unknown
Hadone,2022,Unknown
Hector Oaks B2B SPFDJ,2022,Unknown
Dana Montana,2022,"House, Techno"
Axel Haube,2022,"Techno, Minimal Techno"
Shiffer,2022,Unknown
Marino Canal,2022,Unknown
Brina Knauss,2022,Techno
